search_key,matched_name,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h)
arma operation arrowhead,ARMA II: Operation Arrowhead,8.0,8.37,15.83,9.03,98.68,117.43
beat saber,Beat Saber,6.47,21.87,53.81,22.51,0.0,0.0
oxygen not ncluded,Oxygen Not Included,90.57,181.25,407.94,141.29,0.0,0.0
detroit become human,Detroit: Become Human,12.07,15.75,31.94,14.14,13.84,0.0
dishonored,Dishonored,12.15,18.46,37.5,16.46,0.0,0.0
payday the heist,Payday: The Heist,10.07,32.11,48.79,18.52,20.81,0.0
plants s zombies goty edition,Plants vs. Zombies: Garden Warfare 2,8.02,32.58,123.09,32.46,98.48,103.93
grounded,Grounded,32.06,71.04,102.57,67.3,65.41,0.0
ultimate custom night,Ultimate Custom Night,15.69,25.79,40.46,25.74,0.0,0.0
mad max,Mad Max,20.11,38.89,61.62,40.13,0.0,0.0
marvels spiderman remastered,Marvel's Spider-Man Remastered,17.91,29.21,44.84,32.47,0.0,0.0
eve online,Eve Online,1553.13,3177.16,6499.35,2486.24,3332.84,746.13
broforce,Broforce,7.19,10.01,17.62,8.9,8.83,7.67
far cry,Far Cry,12.8,16.14,19.3,14.32,0.0,1.5
bioshock,BioShock,12.11,15.63,23.07,14.34,0.01,0.0
fifa,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
middleearth shadow of war,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
american truck simulator,American Truck Simulator,22.82,88.7,116.74,72.35,0.0,0.0
vampire the masquerade bloodhunt,Vampire: The Masquerade - Bloodhunt,10.12,45.54,65.0,35.6,12.0,24.17
enshrouded,Enshrouded,48.39,59.27,80.03,64.99,65.37,0.0
yugioh duel links,Yu-Gi-Oh! Duel Links,31.4,381.01,521.38,332.87,0.0,339.09
grand theft auto san andreas,Grand Theft Auto: San Andreas,30.25,45.18,72.03,42.05,627.38,168.75
stick fight the game,Stick Fight: The Game,1.75,3.53,8.34,5.47,6.27,8.18
kingdom two crowns,Kingdom Two Crowns,21.84,29.52,63.48,27.74,20.31,0.0
limbo,Limbo,3.58,4.18,6.69,3.98,0.0,0.0
batman arkham knight,Batman: Arkham Knight,17.03,31.46,51.0,31.02,43.73,0.0
balatro,Balatro,7.36,44.63,245.81,23.73,3.25,0.0
call of duty black ops,Call of Duty: Black Ops II,7.06,10.6,30.89,8.38,93.55,161.92
torchlight i,Torchlight II,20.71,29.56,80.35,27.76,29.5,0.0
mirror project 0,Mirror,6.17,8.81,14.44,10.48,0.0,0.0
clair obscur expedition,Clair Obscur: Expedition 33,28.57,44.01,66.21,45.81,0.0,0.0
crusader kings i,Crusader Kings II,66.64,246.22,440.97,163.87,0.0,13.38
space engineers,Space Engineers,19.04,89.74,362.37,95.34,30.29,0.0
crsed foad,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
dyson sphere program,Dyson Sphere Program,66.97,114.46,232.0,90.79,0.0,0.0
total war shogun,Total War: Shogun 2,27.18,72.06,216.15,52.82,32.7,0.0
supermarket together,Supermarket Together,11.87,20.35,38.86,23.8,8.0,0.0
tekken,Tekken,1.38,6.28,11.1,2.88,0.0,15.0
call of duty world at war,Call of Duty: World at War,7.05,11.12,25.49,8.44,41.65,37.32
days gone,Days Gone,36.53,50.65,65.46,51.12,0.0,0.0
kerbal space program,Kerbal Space Program,113.03,233.5,601.66,244.84,0.0,0.0
total war warhammer ii,Total War: Warhammer III,34.03,111.97,507.64,101.14,21.75,76.5
fistful of frags,Fistful of Frags,12.8,23.55,0.0,14.65,0.0,21.31
the expendabros,The Expendabros,1.07,1.27,1.35,1.14,4.43,0.0
hotline miami,Hotline Miami,5.24,7.32,15.36,6.76,3.5,0.0
rising storm ietnam,Rising Storm 2: Vietnam,2.18,56.0,0.0,7.57,28.36,56.33
raceroom racing experience,RaceRoom Racing Experience,8.5,0.0,0.0,8.5,0.0,37.0
last man standing,Last Man Standing,0.0,0.0,0.0,0.0,0.0,10.93
borderlands the presequel,Borderlands,22.21,35.08,63.25,32.72,31.03,20.16
ori and the will of the wisps,Ori and the Will of the Wisps,11.96,15.59,18.25,15.52,17.03,0.0
warhammer ermintide,Warhammer: Vermintide 2,10.83,28.76,134.94,24.93,55.63,34.95
elite dangerous,Elite: Dangerous,114.47,250.16,676.78,265.46,161.47,145.38
saints row,Saints Row,12.59,26.62,52.48,22.83,26.21,0.0
skullgirls nd encore,Skullgirls 2nd Encore,3.22,15.74,69.1,8.27,21.0,111.5
gang beasts,Gang Beasts,2.29,5.24,6.19,4.94,7.57,7.33
the witcher enhanced edition directors cut,The Witcher,35.26,45.97,63.48,46.46,0.0,0.0
the walking dead,The Walking Dead,0.53,0.0,0.0,0.53,0.0,0.0
kingdom come deliverance i,Kingdom Come: Deliverance,41.88,80.44,136.36,79.81,0.0,0.0
century age of ashes,Century: Age of Ashes,0.0,0.0,170.77,170.77,0.0,4.0
total war rome i emperor edition,Total War: Shogun 2,27.18,72.06,216.15,52.82,32.7,0.0
watch_dogs,Watch Dogs,19.56,33.11,62.7,28.29,5.21,3.83
astroneer,Astroneer,25.09,49.82,69.18,50.67,43.52,0.0
xcom enemy unknown,XCOM: Enemy Unknown,26.66,37.98,68.49,34.08,0.0,2.41
red orchestra heroes of stalingrad with rising storm,Red Orchestra 2: Heroes of Stalingrad,7.13,8.73,24.7,10.97,16.1,83.07
mortal kombat 0,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
guns of carus online,Guns of Icarus Online,6.02,45.75,0.0,13.8,8.07,18.3
transformice,Transformice,0.0,0.0,770.12,770.12,9.17,132.5
helltaker,Helltaker,1.06,1.44,1.88,1.51,0.0,0.0
metal gear solid the phantom pain,Metal Gear Solid V: The Phantom Pain,45.58,81.78,164.27,80.36,2.5,18.16
spiral knights,Spiral Knights,48.7,123.99,453.32,183.46,178.18,30.0
dont starve,Don't Starve Together,34.49,108.4,213.71,80.2,49.98,57.31
tom clancys ghost recon wildlands,Tom Clancy's Ghost Recon Wildlands,27.01,53.72,84.41,55.23,51.15,2.17
the tiny bang story,The Tiny Bang Story,3.49,3.58,3.81,3.64,0.0,0.0
trine complete story,Trine 2: Complete Story,9.12,13.44,34.95,13.82,12.84,14.42
scrap mechanic,Scrap Mechanic,25.24,0.0,58.66,37.47,19.29,0.0
bioshock remastered,BioShock,12.11,15.63,23.07,14.34,0.01,0.0
pummel party,Pummel Party,7.1,14.18,22.49,14.45,7.24,24.03
hell let loose,Hell Let Loose,44.31,1200.0,2610.0,627.54,0.0,36.47
resident evil biohazard,Resident Evil 2,8.79,15.38,36.69,12.53,18.75,0.0
cookie clicker,Cookie Clicker,144.22,391.93,825.12,484.77,0.0,0.0
kingdom come deliverance,Kingdom Come: Deliverance,41.88,80.44,136.36,79.81,0.0,0.0
minimalism,Minimalism,0.0,0.0,4.52,4.52,0.0,0.0
hotline miami wrong number,Hotline Miami 2: Wrong Number,8.8,12.89,33.53,10.97,9.0,0.0
